id,raw_sentence,processed_sentence
7167,"They can also be very beautiful when the purple heather is out , and they are habitat to much wildlife and many species of wildflowers .",also beautiful purple heather habitat much wildlife many species wildflower
7168,I have a western pleasure appy that s really heavy on her left lead at the lope ?,western pleasure appy really heavy left lead lope
7169,My appy is very heavy on her left lead at the lope .,appy heavy left lead lope
7170,She seems to lope one stride and trot the next and repeat ...,seem lope one stride trot next repeat
7171,"How could I work with her to get off her four hand , get balance , and lope smoothly and slowly ??",could work get four hand get balance lope smoothly slowly
7172,"Put on a pair of spurs and before she makes that trot step , it 's in the feeling when you feel her think trot , tick her with the spur and lift with your body to keep her moving .",put pair spur make trot step feeling feel think trot tick spur lift body keep move
7173,If you concentrate on that feel just before the trot you can figure it out and the timing is essential to push her at that instant .,concentrate feel trot figure timing essential push instant
7174,"Lope her to the left in circles , keep her head to the inside of the circle and push her but out , keep doing this if she breaks to a jog go a little bit bigger circle , till she can get enough balance to go small and small . circles",lope left circle keep head inside circle push butt keep break jog go little bit big circle till get enough balance go small small circle
7175,my new OLYMPUS X940 DIGITAL CAMERA ... ?,new olympus x940 digital camera
7176,"hi everyone .... just hav my hands on my new OLYMPUS X940 digital camera .. wel , i always wanted 2 hav one by sony .. but anyways , ended up having olympus X940 from my dad ....... does any1 already has it ?",hi everyone hand new olympus x940 digital camera well always want one sony anyways end olympus x940 dad anyone already
7177,how has ur experience with it ?,experience
7178,is it a gud option for casual / formal functions photography ?????,good option casual formal function photography
7179,wht abt its picture quality ???,picture quality
7180,is it comparable to sony products or not ??,comparable sony product
7181,it has 14 mega pixel camera ... n 4 x wide optical zoom ...,megapixel pixel camera x wide optical zoom
7182,ur answers and reviews wud be highly appreciated ....... thanks !!!!!!!,answer review would highly appreciate thanks
7183,Olympus X - 940 14 Megapixel Digital Camera has filters and can do all sorts of special effects .,olympus x megapixel digital camera filter sort special effect
7184,It is def worth more than the price .,def worth price
7185,I am VERY satisfied .,satisfied
7186,A good camera for the plain point and shoot .,good camera plain point shoot
7187,My answer is that we do n't to text speak here ... we type in English .,answer text speak type english
7188,Get your English in order before writing here again please .,get english order write please
7189,dead pixel of my photos ?,dead pixel photo
7190,just want to ask .. i have an nikon dslr .. i m wondering why if i zoom my picture zoom like almost 200 - 300 percent .. i can see some dead pixel ... is there something wrong with my camera body ?,want ask nikon dslr wonder zoom picture zoom like almost percent see dead pixel something wrong camera body
7191,lens ?,lens
7192,please help me .. and what should i do to fix this problem ?,please help fix problem
7193,or it is normal ?,normal
7194,Are you sure it is n't dirt on the sensor ?,sure dirt sensor
7195,Put the camera on manual focus and set focus to infinity,put camera manual focus set focus infinity
7196,Take a photo of a very light plain subject close to the lens using long exposure and smallest aperture you have - over expose by a couple of stops,take photo light plain subject close lens use long exposure small aperture overexpose expose couple stop
7197,You will see in the image if there is dirt as that will be the only thing in focus,see image dirt thing focus
7198,Cure is to get the sensor cleaned,cure get sensor clean
7199,"There should be a Pixel Mapping function in the menu that will get rid of them , most sensors have a few dead and flipped pixels , some only show up on long exposures .",pixel mapping function menu get rid sensor dead flip pixel show long exposure
7200,Chris,chris
7201,New Zealand skilled migrant visa ?,new zealand skilled migrant visa
7202,If you apply for a skilled migrant worker s visa and it is accepted do you have to find work in the same sector as your skills on your application or can you take up other work if you ca n't find something in your own field .,apply skilled migrant worker 's visa accept find work sector skill application take work find something field
7203,"I have posted this question on the NZ visa site and ca n't get any info , does anyone know .???",post question nz visa site get info anyone know
7204,Watch out the poles are coming ..... my little butterfly,watch pole come little butterfly
7205,"That would be preferable but it does n't matter , could be something similar",would preferable matter could something similar
7206,It depends on the conditions of your skilled migrant visa .,depend condition skilled migrant visa
7207,Your visa should say whether or not you are restricted to work in a specific sector .,visa say whether restrict work specific sector
7208,If your visa does not restrict you from taking any work in New Zealand then you can work in any sector .,visa restrict take work new zealand work sector
7209,It only matters if you received an offer of employment or if you are currently working in New Zealand and used that job in your application to get your skilled migrant visa .,matter receive offer employment currently work new zealand use job application get skilled migrant visa
7210,"In Chicago , what is the best restaurant to dine at on a budget ?",chicago good restaurant dine budget
7211,"Downtown Chicago , Loop , North",downtown chicago loop north
7212,"Take the red line to Clark , then you turn right .",take red line clark turn right
7213,Walk 2 blocks then turn right again .,walk block turn right
7214,Walk 2 more blocks then cross the street .,walk block cross street
7215,"You will get to a place called "" BIG BOWL "" .",get place call big bowl
7216,THAI FOOD AND ASIAN .,thai food asian
7217,BEST PLACE EVER !!!!!!!!!!!!,good place ever
7218,McDonald s,mcdonald 's
7219,Not necessarily the restaurant but what you order when you get there and what time you go .,necessarily restaurant order get time go
7220,A lunch will be less expensive than a dinner .,lunch less expensive dinner
7221,You can order appetizers rather than a full meal and have just as good a dinner .,order appetizer rather full meal good dinner
7222,But the best way is to use coupons .,good way use coupon
7223,Check out http://www.restaurant.com lots of restaurants you can look at the menu and check out prices .,check http://www.restaurant.com lot restaurant look menu check price
7224,"Yo also may want to try "" small neighborhood "" restaurants and support family run places rather than the large corporate chains .",also may want try small neighborhood restaurant support family run place rather large corporate chain
7225,Not that there is anything wrong with that because they also employ local people that live and shop in the area .,anything wrong also employ local people live shop area
7226,Is there any cure for mouse poison ?,cure mouse poison
7227,"I found a poor little mouse walking around in my friend s house , and since I was able to catch it very easily ( normally mice move at the speed of light ) , and since it was acting unresponsive , I thought it was infected with mouse poison , since my friend uses it .",find poor little mouse walk around friend 's house since able catch easily normally mouse move speed light since act unresponsive think infect mouse poison since friend use
7228,"I know that the mouse will probably die , but I was wondering if there is any cure for mouse poison ?",know mouse probably die wonder cure mouse poison
7229,I just hate to see the poor dears experience a slow painful death that way :( .,hate see poor dear experience slow painful death way
7230,"Without knowing the exact poison , no .",without know exact poison
7231,A common one is arsenic and there really is n't a way to cure that .,common one arsenic really way cure
7232,Take the mouse to an emergency vet and have them use CO2 to put the mouse to sleep .,take mouse emergency vet use co2 put mouse sleep
7233,"Or , you can put the animal in a snap trap designed for rats or mice since that is the only really humane kill method for invasive animals .",put animal snap trap design rat mouse since really humane kill method invasive animal
7234,A quick cure would be Arm & Hammer to it's head .,quick cure would arm hammer head
7235,Crayola Air - Dry Clay ?,crayola air dry clay
7236,Ok .,ok
7237,So I have a VERY long list of people I want to make Xmas gifts for and one of them is my best friend .,long list people want make xmas gift one good friend
7238,She loves giraffes and homemade things !,love giraffe homemade thing
7239,I am very artistic so I decided I was going to make her a giraffe sculpture .,artistic decide go make giraffe sculpture
7240,I do n't have much money so I bought Crayola Air - Dry Clay .,much money buy crayola air dry clay
7241,I have sculpted the giraffe laying down .,sculpt giraffe lay
7242,The key is ... I have a few problems :,key problem
7243,1 . I tested it out by making a figure boat,test make figure boat
7244,And after 4 days when it dried it was very fragile !,day dry fragile
7245,( like VERY not in a good way ),like good way
7246,Is there any way to strengthen it ?,way strengthen
7247,2 . What kind of paint do I use to paint the giraffe ?,kind paint use paint giraffe
7248,3 . Is there any cheap way to give it a shine like I made it in a kiln ?,cheap way give shine like make kiln
7249,"air dry clay works on armatures , the clay has a minor shrink percent , so you can leave the wire armature inside , paint with acrylic paint",air dry clay work armature clay minor shrink percent leave wire armature inside paint acrylic paint
7250,taking young cat with me for a week out of state ?,take young cat week state
7251,good idea ?,good idea
7252,i have a 3 - 4 month old kitten and i live in forida .,month old kitten live forida
7253,i am going to my grandma s in north carolina and we are going camping in a cabin in west virginia .,go grandma 's north carolina go camp cabin west virginia
7254,My cat is a outside cat but she loves it inside .,cat outside cat love inside
7255,she is also good in a carrier .,also good carrier
7256,Should i bring her ?,bring
7257,if so how quick will she adapt to a litter box inside ?,quick adapt litter box inside
7258,thanks,thanks
7259,We took our cat Mitten camping .,take cat mitten camp
7260,He loved it .,love
7261,But he was an inside / outside cat ( only one I owned - rest have been 100 0nside cats ) .,inside outside cat one rest inside cat
7262,He was trained to a harness / leash for outside time but he knew to use the litter pan inside .,train harness leash outside time know use litter pan inside
7263,"If your cat is not trained to use the litter pan , you may have a problem taking her .",cat train use litter pan may problem take
7264,"changing its surroundings too often will stress it out and it will get depressed , mean , sick , or will not want to be around you .",change surroundings often stress get depressed mean sick want around
7265,What cleaners should I use for dusting around my parakeet ?,cleaner use dust around parakeet
7266,What cleaners can I use to dust around my budgie .,cleaner use dust around budgie
7267,Would pledge be ok ?,would pledge ok
7268,Your best bet would just be a swiffer duster -- they do n't require cleaner .,good bet would swiffer duster require cleaner
7269,"If you must use a cleaner , pledge should be fine if the area that you keep your parakeet in is well ventilated .",must use cleaner pledge fine area keep parakeet well ventilate
7270,"I have had parakeets for a VERY long time , and I use pledge .",parakeet long time use pledge
7271,Just keep a window open for a while for fresh air to circulate .,keep window open fresh air circulate
7272,I agree w the answer from Nothing .,agree answer nothing
7273,Even a cotton cloth ( I like diapers ) that is barely damp w water will work fine .,even cotton cloth like diaper barely damp water work fine
7274,Swiffer or any type of micro-fiber cloth is excellent .,swiffer type micro-fiber cloth excellent
7275,"I use Miracle Cloth , they 're fantastic , just do n't use fabric softener or dryer sheets when cleaning them , it ruins their "" grabbing "" ability .",use miracle cloth fantastic use fabric softener dryer sheet clean ruin grab ability
7276,http://www.solutions.com/jump.jsp?itemID=1361&itemType=PRODUCT&path=1%2C3%2C477&iProductID=1361 If anything you use has a strong or lingering fragrance it can bother or potentially injure the bird .,http://www.solutions.com/jump.jsp?itemid=1361&itemtype=product&path=1%2c3%2c477&iproductid=1361 anything use strong linger fragrance bother potentially injure bird
7277,RP : Is it wrong to want to remove a contact because they are really really stupid ... ?,rp wrong want remove contact really really stupid
7278,I did n't get to read the answers lol :(,get read answer lol
7279,"I 'm not gon na say who , they are on now .",go say
7280,I do n't want them to commit suicide or something haha,want commit suicide something haha
7281,LOL Callum,lol callum
7282,it s definitely not you .,definitely
7283,It s not any of you lol,lol
7284,i emailed you saaaaaam .,email sam
7285,I do n't know .,know
7286,how did you know .,know
7287,I 'm mostly joking when I talk about suicide and really I 'm not that stupid I just get in stupid situations D:,mostly joke talk suicide really stupid get stupid situation d:
7288,i guz what lol,guz lol
7289,sorry but i ca n't help my stupidity =(,sorry help stupidity
7290,EDIT : I love how she says it 's not callum but does n't deny it 's me .... i think we all know who she 's talking about ...,edit love say callum deny think know talk
7291,EDIT : now i 'm curious ...,edit curious
7292,EDIT : How did I know ...,edit know
7293,lol they really are n't that much worse than me,lol really much bad
7294,and their gpa was better than mine ....,gpa good
7295,"can i buy a laptop in u.k and then take it to rep. ireland and put a irish pay , go dongle in it ?",buy laptop u.k take rep. ireland put irish pay go dongle
7296,"i want to buy a laptop for my girlfriend in ireland , would she be able to just use the dongle she uses for her pc and put it straight in the laptop and it work like normall ?",want buy laptop girlfriend ireland would able use dongle use pc put straight laptop work like normall
7297,thanks people,thanks people
7298,Yes obviously the USB is region free which means you can use it anywhere .,yes obviously usb region free mean use anywhere
7299,And every computer manufactured in both Ireland & the UK are Region 2 aka PAL .,every computer manufacture ireland uk region a.k.a. pal
7300,There wo n't be a difference since mobile broadband is supposed to be digital .,difference since mobile broadband suppose digital
7301,"But word of advice if you 're get your girlfriend a laptop make sure it s a good brand a not something like DELL , Acer , Asus , eMachines etc .",word advice get girlfriend laptop make sure good brand something like dell acer asus emachine etc.
7302,just a heads up .,head
7303,yes of course you can ....,yes course
7304,I have many friends that have laptops bought in the UK that use them here,many friend laptop buy uk use
7305,If in dongle you mean USB stick then yes USB sticks are the same any were you go :) hope that answered your question .,dongle mean usb stick yes usb stick anywhere go hope answer question
7306,How do I take care of my newborn baby fish ?,take care newborn baby fish
7307,"I am nervous that my other fish will eat them , and I do n't know what to feed them !",nervous fish eat know feed
7308,I have counted around 25 of them and they currently reside in a 20 gallon tank .,count around currently reside gallon tank
7309,You could move all the babies into a fry net breeder or move all of the bigger fish ( also the parents ) to a different tank to avoid the babies getting eaten .,could move baby fry net breeder move big fish also parent different tank avoid baby get eat
7310,Feed the babies 3 - 4 times a day with flakes .,feed baby time day flake
7311,"Provide plenty of hiding places like rocks , plants , etc in the tank .",provide plenty hiding place like rock plant etc. tank
7312,It s natural for some babies to be eaten by adults and if all of them survived your tank would be very overcrowded .,natural baby eat adult survive tank would overcrowded
7313,"Look in the pet stores for "" fry food "" or "" baby fish foods "" .",look pet store fry food baby fish food
7314,what kind of newborn fish you have ?,kind newborn fish
7315,some parents would not eat there fish till a certain age jack dempsey for example would not eat there offspring till they mature but i would move the baby fish into a smaller tank and feed them flakes,parent would eat fish till certain age jack dempsey example would eat offspring till mature would move baby fish small tank feed flake
7316,I have a question about McDonald 's Monopoly !,question mcdonald 's monopoly
7317,Please HELP !!!!!!!!!!!!!!!!!!!!!,please help
7318,TEN POINTS !!!!!!!!!!?,ten point
7319,"Ok , I know that Mcdonald 's has Monopoly going on right now .",ok know mcdonald 's monopoly go right
7320,& I wan na know what food has the game pieces .,want know food game piece
7321,And what food has EXTRA game pieces .,food extra game piece
7322,Because Large Fries give you FOUR PIECES !,large fry give four piece
7323,When most of the food or drinks I got only included two !,food drink get include two
7324,"So can somebody please list ALL of the food that includes the game pieces , and the number of game pieces you get with THAT FOOD !",somebody please list food include game piece number game piece get food
7325,PLEASE !!!!!!,please
7326,"The person who best explains this , and helps me out the best with my question will be REWARDED WITH TEN POINTS !!!!!!!",person well explain help well question reward ten point
7327,PLEASE HELP !!!!!!!!!!!,please help
7328,THANK YOU !!!!!!!!!!!!! :D,thank :d
7329,scroll down and this website shows each thing you can buy (:,scroll website show thing buy
7330,http://www.playatmcd.com/en-us/Main/Gameboard,http://www.playatmcd.com/en-us/main/gameboard
7331,4 Peels :,peel
7332,- 20 piece Chicken McNuggets,piece chicken mcnugget
7333,- Large fries,large fry
7334,2 Peels :,peel
7335,- Big Mac,big mac
7336,- 10 piece Chicken McNuggets,piece chicken mcnugget
7337,- Medium Fountain Drink,medium fountain drink
7338,- McCAFE Drink,mccafe drink
7339,- Filet - O - Fish,filet fish
7340,- Hash Browns,hash brown
7341,"- Egg McMuffin , Sausage",egg mcmuffin sausage
7342,- Fruit & Maple Oatmeal,fruit maple oatmeal
7343,bearded dragon spikes ?,bearded dragon spike
7344,bit of a stupid question but do the spikes / spines ( whatever you call them ) on their side and face area ever go hard .,bit stupid question spike spine whatever call side face area ever go hard
7345,or are they just supposed to look like they are so nothing will try to eat them,suppose look like nothing try eat
7346,becca is right .,becca right
7347,i v owned beardies for ovr 3 yrs and i handle mine all the time .. they do nt go hard lik eneedle hard but they ar nt pillow soft .,beardy year handle time go hard like needle hard pillow soft
7348,they use them to look prickly .. would you try to eat a cactus [ if u had no knife ] i know i would nt .,use look prickly would try eat cactus knife know would
7349,they puff out to look bigger and badder and they can scratch you a lil if u r holding them to tight :),puff look big bad scratch little hold tight
7350,They re not really hard .,really hard
7351,Beardies are actually quite delicate .,beardy actually quite delicate
7352,I 'm assuming it 's to scare off predators / like how they will puff up their neck spikes to make them look bigger to predators or enemies .,assume scare predator like puff neck spike make look big predator enemy
7353,they do nt hurt unless you r stupid enough to press on them .,hurt unless stupid enough press
7354,They just are there as an adaptation .,adaptation
7355,what is a kimberwick bit used for ?,kimberwick bit use
7356,"Used as a help for horses that are quite strong pullers while hacking , hunting and doing cross country .",use help horse quite strong puller hack hunt cross country
7357,It is a curb bit with a ported mouth piece and some horses appreciate this to give them more room in their mouths for their tongues .,curb bit ported mouth piece horse appreciate give room mouth tongue
7358,"It is not as precise as a pelham bit because it only uses one rein , though the modern ones have two or three slots on which to put the reins .",precise pelham bit use one rein though modern one two three slot put rein
7359,"The lower the reins , the stronger the action and the lower the reins the stronger the action on the poll too .",low rein strong action low rein strong action poll
7360,Useful for younger kids who do not have big enough hands or the ability to handle two reins independently .,useful young kid big enough hand ability handle two rein independently
7361,For horses that are strong pullers .,horse strong puller
7362,It just gives you a little leverage and curb pressure .,give little leverage curb pressure
7363,It 's nice for horses that need a little more than a snaffle .,nice horse need little snaffle
7364,"I know that 's vague , but it depends on the horse .",know vague depend horse
7365,"The rider needs to have independent hands as well , because you do NOT want to pull too hard on a bit like that . ;)",rider need independent hand well want pull hard bit like
7366,How long to save up for a canon t3i ?,long save canon t3i
7367,"I want to save up for a canon t3i , around 750 - 800 + :(",want save canon t3i around
7368,"I 'm currently 12 and I get about 20 dollars a week for lunch , sometimes a bit more , I plan to save 10 dollars every week :)",currently get dollar week lunch sometimes bit plan save dollar every week
7369,My birthday is in november and I get about .... 150 or more since i hate my dad s family .. haha,birthday november get since hate dad 's family haha
7370,Chinese new year ~ 300,chinese new year
7371,christmas ~ 100,christmas
7372,and yeaa ...,yeaa
7373,Can someone cunclude how long it might take me to save up for the canan t3i or some extra tips to save / gain money ? :O,someone conclude long might take save canon t3i extra tip save gain money :o
7374,"Hey ,",hey
7375,"Be happy you get a bit , many of us never got nothing :)",happy get bit many never get nothing
7376,"There 's a Canon EOS T2i , with the exact same sensor , just no articulating screen .",canon eos t2i exact sensor articulating screen
7377,"It 's around $ 100 less , which means you get the same camera but quicker !",around less mean get camera quick
7378,Here 's a DSLR Buying Guide - http://www.the-dslr-photographer.com/2009/11/which-dslr-to-buy/,dslr buying guide http://www.the-dslr-photographer.com/2009/11/which-dslr-to-buy/
7379,Do n't worry about it .,worry
7380,"If you ca n't even do basic math , you 'll never figure out how to use a DSLR camera properly .",even basic math never figure use dslr camera properly
7381,hey kido u made me smile,hey kido make smile
7382,does the POP drying time slow down if it not exposed to air ?,pop drying time slow expose air
7383,it s for a craft project ..... i want to use it the way u would use icing ....,craft project want use way would use icing
7384,"took a bit of searching to discover that POP is probably PoP - plaster of Paris and yes plaster of Paris will slow way down if it is not exposed to air - in fact , if you are building up plaster ( "" the way you would icing "" ) to do sculpting , which is rather uncommon , you keep the set plaster damp in order to add more unset plaster or you have to wet the area where you will be adding plaster "" mud """,take bit searching discover pop probably pop plaster paris yes plaster paris slow way expose air fact build plaster way would icing sculpting rather uncommon keep set plaster damp order add unset plaster wet area add plaster mud
7385,Plaster of Paris does two things,plaster paris two thing
7386,- it chemically sets - gets warm to hot then cools down and hard and,chemically set get warm hot cool hard
7387,"- it dries out , losing the water that is soaked into the set structure",dry lose water soak set structure
7388,"For example , a set plaster mold that is to be used for clay slip casting must be dry - it gets wet pulling the water out of the slip - while a set plaster mold used for molding wax must be soaking or damp wet http://www.mikegigi.com/castgobl.htm#LGGOBPROJ",example set plaster mold use clay slip casting must dry get wet pull water slip set plaster mold use molding wax must soaking damp wet http://www.mikegigi.com/castgobl.htm#lggobproj
7389,Dwarf Hamster Making Too Much Noise On Wheel at Night ?,dwarf hamster make much noise wheel night
7390,I 'm getting a dwarf Hamster tomorrow And i was just talking to my Mom and she said that we have to take out the wheel at night because it would disturb her sleep But i told her no because i said thei r energetic at night at my room is right next door to hers But i heard their are wheels that do nt make noise at all what would be the price of it ?,get dwarf hamster tomorrow talk mom say take wheel night would disturb sleep tell say energetic night room right next door hear wheel make noise would price
7391,"I 'm quite sure , you do n't even have to buy another , all you need to do , is to pour some oil on the wheel , or even put some rubber on it's edges , the part that is making the noise .",quite sure even buy another need pour oil wheel even put rubber edge part make noise
7392,That might work,might work
7393,Super Pet Silent Spinner Exercise Wheel,super pet silent spinner exercise wheel
7394,Our Price : $ 10.99 to 12.99 PETSMART !,price petsmart
7395,works well lasts long .,work well last long
7396,I have a dwarf hamster who HATES his wheel and does n't use it -,dwarf hamster hate wheel use
7397,"he makes so much MORE noise , as he plays and digs and jumps ( seriously )",make much noise play dig jump seriously
7398,wheels are relatively noiseless -,wheel relatively noiseless
7399,a few squeaks from a wheel are better than the full wrath of a bored pet !,squeak wheel good full wrath bored pet
7400,Change of boarding station ?,change boarding station
7401,How can I change my boarding station against the ticket I booked a month back from counter ?,change boarding station ticket book month back counter
7402,"My origin Station is Howrah , but I want to board at Asansol ..",origin station howrah want board asansol
7403,Does your train pass Asansol when starting from Howrah ?,train pass asansol start howrah
7404,"If yes , you do n't need to change it because you board later .",yes need change board late
7405,"If no , you 'll have to go to one of the train stations .",go one train station
7406,In Calcutta there is a Foreigner 's reservation office where they speak English very well .,calcutta foreigner 's reservation office speak english well
7407,I do n't remember near which station it is though .,remember near station though
7408,They can help you and it is close to a train station in Calcutta so check a few big ones ?,help close train station calcutta check big one
7409,Even if you do n't find the foreigner 's office you 'll be fine in the normal Reservation Office of any big train station .,even find foreigner 's office fine normal reservation office big train station
7410,This is where you can get AND change express train tickets .,get change express train ticket
7411,"well if your desired boarding station comes after more than 2 or 3 halts of the actual boarding point , then the TC will cancel you ticket and allot the seat to others .",well desire boarding station come halt actual boarding point tc cancel ticket allot seat
7412,so better inquire in railway office,well inquire railway office
7413,Contact the Indian railways .,contact indian railway
7414,You might end up as a no show passenger .,might end show passenger
7415,petsmart application ?,petsmart application
7416,"my name is Josalyn Leainne Creek and i 'm 19 years old and i graduated from high in May adn of this year and i love animals and i 'm great at working and i had drama in my last job which was mcallister 's deli and i ', a mormon and i hvae changed to be a better person that pwople are wanting to hirier and i 'm willing to work whenever you need me but i go to church on every sunday and i have a doctor 's appointment this thursday at 2;30 and i hope you h=guys hirier me because i work very hard and i do nt care about how much you guys pay and i 've been looking for a job ever since i have graduated and i hate drama",name josalyn leainne creek year old graduate high may adn year love animal great work drama last job mcallister 's deli mormon change good person people want hire willing work whenever need go church every sunday doctor 's appointment thursday 2;30 hope guy hire work hard care much guy pay look job ever since graduate hate drama
7417,"Jeez , work on your spelling and punctuation .",jeez work spelling punctuation
7418,It makes a huge difference .,make huge difference
7419,"No one 's going to hire you if you ca n't even spell , especially if you 're a high school graduate .",one go hire even spell especially high school graduate
7420,Cover letters and resumes need to be perfect .,cover letter resume need perfect
7421,No one 's going to take you seriously if they 're full of typos and whatnot .,one go take seriously full typo whatnot
7422,"Sorry , I would put that application in the round file .",sorry would put application round file
7423,Nope,nope
7424,"Canadian student visa , can I used for other schools ?",canadian student visa use school
7425,"I applied to get a student visa to study in Canada , I received one that is valid until October of 2015 .",apply get student visa study canada receive one valid october
7426,"Problem is , for some reason , the visa process took longer than it should , thus I missed school this semester ( visa was issued to me about 25 days after school started so I could n't attend ) , now I no longer want to go into that school ( because they only would accept me again on September of 2012 ) , I found a school that accepted me for may 2012 , can I use the same visa that was issued to me ?",problem reason visa process take long thus miss school semester visa issue day school start could attend long want go school would accept september find school accept may use visa issue
7427,or do I need to reapply ?,need reapply
7428,"( in the visa itself , it does not mention anything about which school I m suppose to attend , and problem is , the embassy here in DC are not too nice and would never answer ANY questions .... ) any advice please ?",visa mention anything school suppose attend problem embassy dc nice would never answer question advice please
7429,"Visas and Study Permits are administered by Citizenship and Immigration Canada , and any questions regarding applications should be directed to them .",visa study permit administer citizenship immigration canada question regard application direct
7430,"So best advice is to go to the C&IC website and click "" contact us "" - http://www.cic.gc.ca/english/index.asp",good advice go c&ic website click contact http://www.cic.gc.ca/english/index.asp
7431,How Do you Prevent A Dwarf Hamster Escaping From The Cage ?,prevent dwarf hamster escape cage
7432,I m getting a dwarf hamster tomorrow and i saw videos on youtube of them escaping and if my hamster escaped because my mom will FREAK OUT !!!,get dwarf hamster tomorrow see video youtube escape hamster escape mom freak
7433,would it help getting an aquarium cage or a plastic see through box so it ca nt escape i can buy it a wheel,would help get aquarium cage plastic see box escape buy wheel
7434,I 've never had a dwarf hamster but I 've had the same problem with my pet rat I put some chicken wiring around it the I got from home depot and now it ca n't out .,never dwarf hamster problem pet rat put chicken wiring around get home depot
7435,Yes I 've had 53 different kinds of rodents and two were dwarf hamsters they flatten into a pancake and slide right through the bars and are able to open the door so yes a plastic cage will be good,yes different kind rodent two dwarf hamster flatten pancake slide right bar able open door yes plastic cage good
7436,Hi,hi
7437,This is the cage I have whhich is pretty much IMPOSSIBLE to escape from :,cage pretty much impossible escape
7438,http://www.petsathome.com/shop/combi-1-dwarf-hamster-cage-by-ferplast-15986,http://www.petsathome.com/shop/combi-1-dwarf-hamster-cage-by-ferplast-15986
7439,"I love this cage , it 's easy to clean , very spacious and fun for the hamster",love cage easy clean spacious fun hamster
7440,"Aquiriums are good also , but provide a mesh top for an easy airway .",aquirium good also provide mesh top easy airway
7441,"Wire cages are NOT acceptable for dwarfs really , unless the bars have less than half a cm between them .",wire cage acceptable dwarf really unless bar less half cm
7442,regards and have fun with your hammy,regards fun hammy
7443,Rachel,rachel
7444,Traveler s guide - For the young and unknowledgeable ?,traveler 's guide young unknowledgeable
7445,I am 17 years old .,year old
7446,I do not get along with my family .,get along family
7447,I dislike this urban society and want to leave this whole enviroment .,dislike urban society want leave whole enviroment
7448,I am very unhappy here .,unhappy
7449,I do n't know the best way of doing it .,know good way
7450,Would it be best for me to finish college ?,would good finish college
7451,wait for 18th birthday ?,wait 18th birthday
7452,I live in London .,live london
7453,I want to go travelling .,want go travel
7454,"My parents do not like me , They constantly reassure me that they will throw me out of home when I turn 18 .",parent like constantly reassure throw home turn
7455,I do n't particularly want to stay with them atm either .,particularly want stay atm either
7456,But right now it s the most convenient thing to do .,right convenient thing
7457,Anyway Advice for travelling .,anyway advice travelling
7458,What is the best way of doing it ?,good way
7459,Hotels for travelling will be expensive .,hotel travelling expensive
7460,anybody is open to answers but I would much prefere somebody with traveling experience .,anybody open answer would much prefer somebody traveling experience
7461,I want to go all over :) I do n't have a set route yet .,want go set route yet
7462,Get a back pack and sleeping bag or good warm blanket .,get back pack sleeping bag good warm blanket
7463,Wool is best .,wool good
7464,"Light , warm , but also itchy .",light warm also itchy
7465,Hit the road .,hit road
7466,You can always beg for spare change when you get hungry .,always beg spare change get hungry
7467,Should get some survival skills before setting out on your own .,get survival skill set
7468,"Vietnamese girl 's name , Mayko ?",vietnamese girl 's name mayko
7469,I always thought Mayko or Meiko is a Japanese name .,always think mayko meiko japanese name
7470,The Canadian Regenesis actress Mayko Nguyen has Japanese connection or is it her fake name ?,canadian regenesis actress mayko nguyen japanese connection fake name
7471,"Right , I could n't find any proven source for that .",right could find prove source
7472,"And her last name , Nguyen is a typical Vietnamese family name ... anyone ?",last name nguyen typical vietnamese family name anyone
7473,"Certainly , Nguyen is the one of first names of many people in Vietnam , only in Vietnam .",certainly nguyen one first name many people vietnam vietnam
7474,Mayko is relating to the Japanese .,mayko relate japanese
7475,"In Vietnam , when a baby was born , they must be named "" first name "" according to that of their fathers .",vietnam baby bear must name first name accord father
7476,"It 's principle except a number of cases , for example , the babies are orphans or not to have father .",principle except number case example baby orphan father
7477,E.g .,e.g
7478,"Full name of the father is : "" Nguyen Thanh Luan "" ===> Full name of the son / daughter certainly is "" Nguyen .......... "" , for instance , "" Nguyen Thi Thuy Lan "" .",full name father nguyen thanh luan full name son daughter certainly nguyen instance nguyen thi thuy lan
7479,"But if the babies were born in American so they would named in other way but still remain "" First name "" in order to recall about their origination .",baby bear american would name way still remain first name order recall origination
7480,I 'm pretty sure that Mayko is Japanese .,pretty sure mayko japanese
7481,She is a Canadian born Vietnamese .,canadian bear vietnamese
7482,I 'm not sure where her first name is from ...,sure first name
7483,I have a splitter / filter between my ADSL and ph line ?,splitter filter adsl ph line
7484,"I have 2 phones running on the same line and the ADSL which is connected to one of the phones and the filter , I 'm still getting a buzzing noise even when I have disconnected the other phone without one .",phone run line adsl connect one phone filter still get buzzing noise even disconnect phone without one
7485,Why is it stil doing this even though I do n't have the other phone connected ?,stil even though phone connect
7486,Woud it be better if I got another filter and connected the other phone as well ?,would good get another filter connect phone well
7487,turn the modem off and see if the sound is still there ... could be static on the line ... if the sound is still there with the modem off then the problem is NOT the DSL ....,turn modem see sound still could static line sound still modem problem dsl
7488,"if the trouble goes away with the modem off , then make sure that EVERYTHING EXCEPT the modem is filtered , this would include the alarm system , fax machine , satellite boxes , phones , etc ...",trouble go away modem make sure everything except modem filter would include alarm system fax machine satellite box phone etc.
7489,"if everything is filtered , and you still have this problem - try changing the filter - if it is still there , try doubling up on the filters ...",everything filter still problem try change filter still try double filter
